# .PCD v0.7 - Point Cloud Data file format
VERSION 0.7
FIELDS x y z
SIZE 4 4 4
TYPE F F F
COUNT 1 1 1
WIDTH 2932
HEIGHT 1
VIEWPOINT 0 0 0 1 0 0 0
POINTS 2932
DATA ascii
-0.24891287 1.19096994 -0.10582706
0.00979186 1.17766201 -0.06239364
-0.39034396 1.20636499 0.07914061
-0.19678830 1.20667577 0.20267677
2.15182281 -0.16413352 -0.95335615
2.12467933 -0.26800334 -1.02967834
1.94607031 -0.62689751 -1.38625133
1.99683154 -0.54268688 -1.28391778
1.92033076 -0.66244197 -1.49218833
1.77879441 -0.18221664 -1.46165991
1.83782566 -0.45086804 -1.54308796
1.72027051 -0.21443683 -1.65857387
1.65526259 -0.10257125 -1.75603521
1.56899941 0.03095701 -1.90628946
1.46488965 0.27907428 -1.98253989
2.10598302 -0.03436781 -0.91504294
2.27855682 0.28189278 -0.57693243
2.12183094 0.03989702 -0.84608024
2.02305555 0.09977697 -0.87713945
1.94328666 0.04489698 -0.99954987
2.00867915 0.12836868 -0.86988270
1.94450486 0.16634394 -0.91050738
1.91863334 0.05068494 -1.02407432
1.69942522 0.00334536 -1.45965946
1.72072327 0.05245693 -1.33623612
1.64327872 0.19903116 -1.34214413
1.61924028 0.07205880 -1.56625056
1.69587409 0.19799605 -1.21494186
1.50349283 0.25640261 -1.73660398
1.49984360 0.24543312 -1.84746826
1.57182491 0.13445012 -1.66653478
1.39516032 0.44545200 -1.72225022
1.30769145 0.55555534 -1.95431769
2.30808783 0.59815764 -0.29451525
2.21946740 0.56405073 -0.36873531
2.28487992 0.73188484 -0.15554798
2.00593138 0.36374459 -0.68518275
2.00697994 0.62665147 -0.43436229
2.01398158 0.48603925 -0.56278962
1.90470326 0.31457657 -0.83401960
1.81155872 0.32483596 -0.92360729
1.59192586 0.53133130 -0.97337151
1.72289240 0.28402519 -1.06683636
1.66945744 0.39821056 -1.01497447
1.54437947 0.30921322 -1.43606949
1.60213077 0.38314468 -1.14896011
1.60963511 0.35150400 -1.18439806
1.51277697 0.51749271 -1.15381300
1.44558597 0.53995055 -1.27175522
1.36147201 0.62018663 -1.32335258
