# .PCD v0.7 - Point Cloud Data file format
VERSION 0.7
FIELDS x y z
SIZE 4 4 4
TYPE F F F
COUNT 1 1 1
WIDTH 2959
HEIGHT 1
VIEWPOINT 0 0 0 1 0 0 0
POINTS 2959
DATA ascii
-2.03421974 1.96758282 3.25964832
-1.98940325 1.83593166 3.39429355
-1.83736384 2.02365494 3.21848011
-1.52750897 1.94188809 3.43168044
-1.76811719 1.81661010 3.49157715
-1.58092988 1.92934012 3.42361784
-1.30581987 1.96999860 3.49866414
-1.65854752 1.95128834 3.35568595
-1.78061604 1.95380759 3.29362082
-1.57055771 2.02565694 3.29060650
-1.35192168 2.02542686 3.38688564
-1.20567119 2.03337526 3.43696451
-1.24918127 2.06141925 3.36830473
-1.37449396 1.99884295 3.42398643
-3.03333545 2.97619462 2.68371749
-2.71211958 2.47499466 2.96494412
-3.05567241 2.92163396 2.78909230
-2.97009993 2.80782771 2.83646631
-3.02839947 2.91773081 2.75896549
-2.64929867 2.52119589 2.86869025
-2.81922102 2.70586133 2.79380703
-2.67746592 2.69107032 2.71442938
-2.67296648 2.46503162 2.94166541
-2.80308151 2.83248687 2.65407896
-2.64300203 2.69264960 2.68985963
-2.91785860 2.86645532 2.69594932
-2.48731446 2.46860170 2.84026599
-2.52593231 2.38107753 2.95136786
-2.55938768 2.40983319 2.93560767
-2.49902892 2.46053123 2.85417581
-2.43204498 2.37519836 2.91546178
-2.20647216 2.23332214 2.97874212
-2.19368148 2.32854176 2.87989235
-2.25727773 2.44198632 2.78769827
-2.27454710 2.44361830 2.79167771
-2.45240283 2.49325705 2.80000901
-2.15044212 2.30281544 2.89145112
-2.12625265 2.07701540 3.14268613
-1.97804809 2.25525522 2.93649936
-2.06863928 2.29909182 2.87878323
-1.92860842 2.06114578 3.17267156
-2.01790953 2.19234657 3.00995851
-1.85470665 2.06729198 3.16935539
-1.67747688 2.22581100 2.96263504
-1.74014485 2.22875333 2.96238303
-1.54565167 2.23328900 2.94513297
-1.68160462 2.22570848 2.96300960
-1.73383582 2.28618336 2.88624501
-1.86920714 2.32863474 2.83807659
-1.28447628 2.16071749 3.17515063
-1.54973185 2.07130980 3.21857190
-1.21594381 2.12478113 3.27063751
-1.25966096 2.14860606 3.20809746
-1.31836736 2.20219874 3.08507538
-1.32038617 2.20621228 3.07692146
-1.53485262 2.12908292 3.12077856
-1.07943261 2.21319056 3.15052867
-0.95154738 2.25885463 3.07184958
-1.19239128 2.23170900 3.06868100
-1.01055980 2.18300629 3.24901652
-1.21878803 2.24320292 3.03112507
-0.98804951 2.24116826 3.10627127
-2.78725910 2.87721157 2.57969475
-2.84750795 2.94961810 2.53251362
-2.72648549 2.81859255 2.60161662
