# .PCD v0.7 - Point Cloud Data file format
VERSION 0.7
FIELDS x y z
SIZE 4 4 4
TYPE F F F
COUNT 1 1 1
WIDTH 2434
HEIGHT 1
VIEWPOINT 0 0 0 1 0 0 0
POINTS 2434
DATA ascii
3.08147645 8.41720963 -0.01053132
3.13488388 8.45797539 0.00475234
2.91870427 8.5644989 0.01201761
1.94409704 9.61908722 0.08130073
1.93156409 9.56178379 0.06556512
1.92084539 9.51621437 0.05318564
2.13362837 9.52219677 0.07423744
1.96919775 9.51846218 0.05823664
2.1868329 9.41495705 0.05192235
2.42159581 9.30957699 0.04732621
2.35021973 9.22800064 0.01994895
2.38315678 9.19206047 0.01392171
2.64682484 9.19467926 0.0390161
2.52752829 9.18222523 0.02498233
2.81213522 9.16718006 0.04705231
2.67405128 9.07078075 0.01034917
2.56256914 8.96969795 -0.02579872
2.90627813 9.12042332 0.04388084
2.86555982 9.08172894 0.030561
2.81554031 8.98791599 0.00235187
2.94551969 8.95828056 0.0069256
4.3167181 8.53481102 0.02582436
4.02852535 8.6308279 0.02376961
4.03702307 8.71004105 0.04432173
3.84651732 8.7508316 0.03738297
3.58021188 8.57722282 -0.03113165
3.6369729 8.82989979 0.03803622
3.64341044 8.9116993 0.05906346
3.50120521 8.77654552 0.01176864
3.4126544 8.7321949 -0.00753502
3.33438301 8.86048317 0.01745967
3.46833539 8.90592289 0.04148699
3.22533393 8.75972176 -0.01756453
3.14066458 8.77197456 -0.02187555
3.27935505 8.97295189 0.04119422
3.09634995 8.7669754 -0.02726658
2.33397675 9.89407253 0.08378182
2.23929501 9.88166523 0.0717001
2.07558584 9.86110973 0.05205453
2.10721064 9.77425766 0.03281899
2.09211922 9.75356007 0.026028
2.39739704 9.86699867 0.0827272
2.16162848 9.77626324 0.03827104
2.23329854 9.73297405 0.03374407
2.49535894 9.74159527 0.06018142
2.48963332 9.71677017 0.05327397
2.57224298 9.64768124 0.04374621
2.60223317 9.56541729 0.02524935
2.50323653 9.41843605 -0.02072437
3.07846618 9.47866726 0.0473304
2.94377112 9.30709362 -0.00815755
4.4305315 9.08241844 0.07150337
4.33873034 9.11758614 0.07197787
4.09760714 9.03703022 0.02928973
3.99064684 9.15387344 0.0488898
3.65820098 9.21797943 0.03461687
3.55210042 9.25161839 0.03385825
3.34601951 9.1564579 -0.00942454
3.27578235 9.18326473 -0.00900287
3.42377377 9.28260136 0.02950384
3.28368497 9.24104595 0.00641084
3.27692628 9.31513977 0.02446618
2.43229747 10.22657108 0.07747532
2.24541759 10.22173786 0.05874552
2.32474136 10.17608261 0.05442938
2.72488022 10.11700821 0.07622831
2.54966164 10.08393192 0.05195829
2.63795829 10.04706097 0.05101349
2.51645589 10.06179237 0.04343703
2.64920044 9.95843887 0.03009998
2.49279833 9.9848938 0.02207433
2.84722066 9.90724277 0.03506382
2.85104847 9.80421162 0.0096766
3.1425631 9.71096992 0.0128393
3.20634222 9.71888161 0.02054803
3.20053816 9.67533493 0.00915078
3.16256428 9.60029602 -0.01308694
4.26262283 9.53061581 0.0697489
4.14393473 9.61081409 0.07934512
4.08853006 9.44969463 0.03386976
3.80005884 9.3990984 -0.00567517
3.86917162 9.51857662 0.03082566
3.7896893 9.46475506 0.01001696
3.71115613 9.49864292 0.01127281
3.67968559 9.56331444 0.02484295
3.76086736 9.70504665 0.06790444
3.52466249 9.46442509 -0.01477724
3.6105113 9.64747334 0.0399921
3.46055841 9.56082916 0.00385713
3.38830066 9.67880344 0.02739479
2.2923665 10.55406666 0.05187754
2.40992141 10.47566605 0.04298678
2.5944109 10.23936367 0.00034142
3.09749603 10.19711494 0.03573382
2.92655325 10.12782383 0.00278027
3.38821435 10.04740524 0.02493805
3.33816838 9.90815926 -0.0144918
4.48736906 9.672019 0.03139053
4.44968224 9.70712852 0.03662381
4.50453472 9.7911787 0.06267645
4.40840578 9.84644222 0.067634
4.22360945 9.94705105 0.07611724
4.18020821 9.8091116 0.036952
4.15539312 9.95352459 0.07131968
4.01696682 9.74461269 0.00661725
3.98741174 9.85127926 0.03036779
4.0473361 9.92719555 0.05500931
3.7462337 9.7432766 -0.01907469
3.88857341 9.84285069 0.01934403
3.80815649 10.03007603 0.05917647
3.56770778 9.84400272 -0.0097892
3.52637529 9.93685532 0.00959177
3.70144701 10.04995823 0.05384148
2.64848399 10.89813995 0.08012055
2.61743093 10.69417286 0.0263247
2.79348302 10.62689114 0.02488391
2.76675081 10.5902462 0.01322048
2.95507526 10.6531496 0.04650587
2.92402983 10.55652332 0.01963081
3.08530664 10.66311646 0.06116809
3.1651237 10.61604786 0.05663213
3.00831532 10.6145916 0.04160286
2.96462321 10.4858675 0.00541739
3.29670405 10.60186481 0.06513694
3.31034231 10.46574974 0.03229304
3.29335523 10.45316315 0.02759241
3.3378284 10.3170166 -0.00272366
3.31605124 10.30671883 -0.00736248
3.509202 10.2973938 0.0076166
3.45070314 10.2532177 -0.00890316
3.36595273 10.22092342 -0.024805
4.51940632 10.0486002 0.03805546
4.41141272 10.02552032 0.02222899
4.20761681 10.10460567 0.02348247
4.12668514 10.16249847 0.03014905
3.98177624 10.23606968 0.03586086
3.6420536 10.1873579 -0.00785479
3.56028748 10.19582844 -0.01301219
2.85240054 10.97197914 0.03052403
3.23849082 10.88818359 0.04446882
3.14076018 10.8345232 0.0220639
3.14519262 10.77860355 0.00825003
3.29767418 10.78073311 0.02299622
3.25739241 10.65965748 -0.01135005
3.52951264 10.73462772 0.03211521
3.52354217 10.67431545 0.01656909
4.04690599 10.34987831 -0.01687161
4.14796543 10.45286369 0.01838718
4.01946926 10.40467834 -0.00607101
3.88135076 10.64590836 0.04245262
3.68226671 10.50033474 -0.01252861
3.00586224 11.38141918 0.06390478
2.98725677 11.23811817 0.02595477
3.09153271 11.23184204 0.03386044
3.27927613 11.17865849 0.03807374
3.22219825 11.11192226 0.01612145
3.45245814 11.21599007 0.06342051
3.43306994 11.15814209 0.0466556
3.3695488 11.08836842 0.02349449
3.63405943 11.0333271 0.03405549
3.59369493 10.96195126 0.01244893
4.66194344 10.60468578 0.01988932
4.75800705 10.64086246 0.03845958
4.43874502 10.66437817 0.01455536
4.43649244 10.78005409 0.04371079
4.21671867 10.79178715 0.02637156
3.9861927 10.67257786 -0.02440165
3.07184076 11.45350647 0.00853861
3.27241921 11.5507431 0.05191057
3.56235981 11.32993984 0.02295161
3.61314178 11.18889618 -0.00814781
4.35325956 10.94206524 -0.00281609
4.2685771 10.93161583 -0.01318335
4.08152342 11.16644764 0.02914425
3.31431866 11.71798515 0.02400525
3.40239787 11.65503788 0.01588071
3.742275 11.54905224 0.02085542
4.49649334 11.26656628 0.01832134
4.60662174 11.29916191 0.03658745
4.35796785 11.23986244 -0.00035956
4.46085358 11.35247326 0.03724637
4.25763464 11.40979862 0.03296825
4.2032814 11.46531391 0.04195469
3.36821961 11.9127779 0.01274956
3.54028821 11.89153004 0.02339833
3.60516572 11.89070415 0.02925562
3.80390549 11.8442297 0.03534951
3.81815195 11.79591179 0.0242582
4.39517355 11.56807709 0.02037331
4.41568613 11.60448265 0.03145569
4.43112087 11.65441227 0.04555985
4.09190464 11.62900543 0.00731768
4.0262537 11.6360817 0.00354312
3.56484365 12.13888168 0.03231821
3.70077872 12.0583353 0.02462596
3.80740738 12.04649448 0.0319932
3.84500861 11.96837997 0.01517768
4.6887517 11.6887722 0.02227868
4.67202854 11.72341728 0.02891951
4.32337761 11.70364475 -0.0077077
4.16389227 11.87849426 0.02189638
4.39684916 11.99398422 0.02704969
4.32910585 12.00927448 0.02466682
4.51101828 12.08862305 0.02650076
0.10612927 0.8134312 0.00392857
0.40596816 1.70728266 -0.02499286
0.69334859 2.45404077 0.01928933
0.7111513 2.60251951 0.01270762
0.89626813 3.03090668 0.02210595
0.82332665 2.90350246 0.01809731
0.84335357 2.95317936 -0.01880189
1.0064187 3.31217885 -0.01915432
1.19617105 3.89927864 -0.02204202
1.39576232 4.41441774 0.02345611
1.24183464 4.05607843 -0.01659526
1.23725569 3.97909427 -0.02347993
1.26712692 4.01737165 -0.01543201
1.46436119 4.55914068 0.0142799
1.59124053 4.91077614 -0.01786633
1.67347622 5.26066732 -0.00081546
1.67858219 5.14439964 -0.01232237
1.92012167 5.8141551 0.01657711
1.78340685 5.50873184 -0.02274418
2.00231862 6.13838053 0.01880565
2.03154516 6.24245596 0.00334073
2.02632809 6.12988424 -0.02110194
2.13630557 6.40409231 -0.01328171
2.17759466 6.53627253 -0.01977995
2.30680847 6.86643744 -0.00926391
2.33298731 6.93065166 0.00257177
2.28580308 6.92147493 0.01805125
2.57228065 7.60049057 0.01304488
2.54824615 7.54811239 0.01912718
2.53593302 7.5423398 0.02285177
2.53395486 7.62448978 0.00109298
2.73674703 8.07051849 0.0195768
2.58719587 7.75898314 0.01131593
2.6362195 7.89255142 -0.01281513
2.67336869 7.87877131 -0.01309183
